Titulo,Contenido,Destacado
Hoteles Exclusivos,"Contamos con el Hotel Parque (www.parquehotelcba.com.ar) y el Hotel Capilla del Lago (www.capilladellago.com.ar). Ambos son de uso exclusivo para pasajeros de Serrano Turismo.","Seguridad y control total en el alojamiento."
Comodidades de las Habitaciones,"Habitaciones triples y cuádruples equipadas con sommier, Aire Acondicionado y baño privado. Diseñadas para el máximo confort y descanso de los chicos.","¡Calidad sommier para un descanso real!"
Instalaciones del Complejo,"Los hoteles cuentan con comedor restaurante propio, SUM, Teatro/Disco, y canchas de vóley, fútbol y fútbol-tenis.","Todo en un mismo lugar."
Piletas y Espacios Verdes,"Piletas con guardavidas permanente y amplios parques para disfrutar del aire libre con total seguridad.","Diversión acuática supervisada 24/7."
