Titulo,Contenido,Destacado
Unidades de Última Generación,"Buses equipados con aire acondicionado, música, video, baño y bar. Incluye refrigerios a bordo y operativo de comunicación permanente en viaje.","Unidades monitoreadas por GPS las 24 hs."
Seguridad en Ruta,"Viaje íntegramente por Autopista 9, sin rebotes y viajando de día para mayor seguridad. Contamos con refuerzos en ruta.","¡Seguridad y confort en cada kilómetro!"
Opción Aérea,"Contamos con la opción de volar exclusivamente con Aerolíneas Argentinas. Incluye vuelos de ida y vuelta, traslados in-out desde el aeropuerto de Córdoba y transporte receptivo en destino toda la semana.","¡Llegá más rápido y empezá a disfrutar!"
