Programa,Valor del Viaje,Contado,3_Cuotas,6_Cuotas,12_Cuotas,18_Cuotas
6 Días en Bus,1500000,1350000,500000,275000,150000,108300
5 Días en Bus,1299900,1170000,433300,238300,130000,93800
6 Días en Avión,1800000,1620000,600000,325000,175000,125000
5 Días en Avión,1599900,1470000,533300,288300,155000,110500
4 Dias en Avion,1299900,1170000,433300,238300,130000,93800
